date,open,high,low,close,volume
2003-08-15,3252.352,3276.148,3241.748,3261.662,328498457
2003-08-18,3259.48,3271.166,3246.194,3255.835,240367479
2003-08-19,3258.708,3272.044,3242.525,3246.431,296604518
2003-08-20,3245.024,3247.265,3194.13,3215.494,312359934
2003-08-21,3216.717,3226.521,3199.495,3212.106,257024822
2003-08-22,3209.258,3233.611,3203.049,3208.774,337572319
2003-08-25,3196.017,3196.194,3165.207,3181.073,325932594
2003-08-26,3177.644,3197.902,3167.003,3188.391,300906204
2003-08-27,3188.502,3205.079,3173.836,3181.057,287760598
2003-08-28,3182.095,3191.914,3154.292,3155.529,300916891
2003-08-29,3150.795,3192.366,3143.388,3192.366,325878337
2003-09-01,3194.262,3250.11,3183.809,3249.193,419489015
2003-09-02,3253.316,3272.535,3232.985,3238.856,465460580
2003-09-03,3238.33,3251.243,3223.458,3233.794,392275962
2003-09-04,3234.152,3246.113,3220.362,3226.909,402361865
2003-09-05,3224.807,3225.442,3162.85,3181.685,402745434
2003-09-08,3176.127,3176.127,3148.021,3157.373,350523623
2003-09-09,3155.553,3165.99,3130.526,3136.614,315166455
2003-09-10,3135.285,3158.476,3126.451,3148.666,258869171
2003-09-11,3152.141,3177.145,3150.498,3160.817,244370310
2003-09-12,3160.899,3160.899,3131.316,3135.531,279987067
2003-09-15,3132.315,3154.161,3095.324,3100.549,275772228
2003-09-16,3102.841,3129.253,3089.784,3128.904,327587511
2003-09-17,3128.052,3128.447,3085.519,3093.608,340233442
2003-09-18,3086.845,3108.493,3078.786,3098.735,308598578
2003-09-19,3100.764,3115.521,3077.6,3095.742,291095316
2003-09-22,3098.409,3102.662,3070.443,3075.776,246940362
2003-09-23,3069.291,3093.478,3043.569,3092.251,269327171
2003-09-24,3093.134,3110.902,3085.86,3102.991,279379208
2003-09-25,3106.072,3108.254,3064.365,3069.438,292224931
2003-09-26,3068.678,3079.004,3053.345,3054.587,289652479
2003-09-29,3056.84,3057.242,3012.858,3017.416,297081911
2003-09-30,3016.215,3064.429,3012.163,3054.894,339780912
2003-10-08,3056.177,3090.365,3046.709,3085.941,324657253
2003-10-09,3086.259,3109.37,3082.878,3089.903,282353496
2003-10-10,3090.956,3207.866,3086.759,3199.562,636400199
2003-10-13,3206.656,3227.086,3176.391,3181.502,523696970
2003-10-14,3182.715,3191.382,3151.757,3171.469,418699646
2003-10-15,3171.263,3231.963,3148.369,3154.678,484146946
2003-10-16,3153.471,3157.973,3100.358,3107.152,384091703
